RawTable,CleansedTable,RawColumnName,CleansedColumnName,DataType,TransformTag,CustomTransform,Lookup
raw.crm_crmd_dhr_activ,cleansed.crm_crmd_dhr_activ,CATLVLGUID02_IR,categoryLevel2GUID,String,,,
raw.crm_crmd_dhr_activ,cleansed.crm_crmd_dhr_activ,CATLVLGUID03_IR,categoryLevel3GUID,String,,,
raw.crm_crmd_dhr_activ,cleansed.crm_crmd_dhr_activ,CATLVLGUID04_IR,categoryLevel4GUID,String,,,
raw.crm_crmd_dhr_activ,cleansed.crm_crmd_dhr_activ,CATLVLGUID05_IR,categoryLevel5GUID,String,,,
raw.crm_crmd_dhr_activ,cleansed.crm_crmd_dhr_activ,CATLVLGUID06_IR,categoryLevel6GUID,String,,,
raw.crm_crmd_dhr_activ,cleansed.crm_crmd_dhr_activ,CATLVLGUID07_IR,categoryLevel7GUID,String,,,
raw.crm_crmd_dhr_activ,cleansed.crm_crmd_dhr_activ,CATLVLGUID08_IR,categoryLevel8GUID,String,,,
raw.crm_crmd_dhr_activ,cleansed.crm_crmd_dhr_activ,CATLVLGUID09_IR,categoryLevel9GUID,String,,,
raw.crm_crmd_dhr_activ,cleansed.crm_crmd_dhr_activ,CATLVLGUID010_IR,categoryLevel10GUID,String,,,
raw.crm_crmd_dhr_activ,cleansed.crm_crmd_dhr_activ,DELTA_TS,delta_ts,"Decimal(15,0)",,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
