RawTablePattern,RawColumnPattern,CleansedColumnName,DataType,TransformTag,CustomTransform,Lookup,Continue,RulesOrder
raw.qualtrics_.*questions,QuestionDescription,questionDescription,string,,,,N,143
raw.qualtrics_.*questions,Answers,answers,nochange,,,,N,144
raw.qualtrics_.*questions,Choices,choices,nochange,,,,N,145
raw.qualtrics_.*questions,DataExportTag,dataExportTag,string,,,,N,146
raw.qualtrics_.*questions,QuestionType,questionType,string,,,,N,147
raw.qualtrics_.*questions,Selector,selector,string,,,,N,148
raw.qualtrics_.*questions,SubSelector,subSelector,string,,,,N,149
raw.qualtrics_.*responses,CustomerName,customerName,string,,,,N,150
raw.qualtrics_.*responses,Email,email,string,,,,N,151
raw.qualtrics_.*responses,UniqueID,uniqueId,string,,,,N,152
raw.qualtrics_.*responses,ApplicationType,applicationType,string,,,,N,153
raw.qualtrics_.*responses,Agent,agent,string,,,,N,154
raw.qualtrics_.*responses,BusinessSegment,businessSegment,string,,,,N,155
raw.qualtrics_.*responses,CaseCompleted,caseCompleted,string,,,,N,156
raw.qualtrics_.*responses,CaseNumber,caseNumber,string,,,,N,157
raw.qualtrics_.*responses,DeveloperName,developerName,string,,,,N,159
raw.qualtrics_.*responses,DeveloperPhoneNo,developerPhoneNo,string,,,,N,160
raw.qualtrics_.*responses,DeveloperPhoneType,developerPhoneType,string,,,,N,161
raw.qualtrics_.*responses,DevelopersAddress,developersAddress,string,,,,N,162
raw.qualtrics_.*responses,DevelopmentLocation,developmentLocation,string,,,,N,163
raw.qualtrics_.*responses,DevelopmentType,developmentType,string,,,,N,164
raw.qualtrics_.*responses,NumberofProposedDwellings,numberofProposedDwellings,string,,,,N,165
raw.qualtrics_.*responses,NumberofProposedLots,numberofProposedLots,string,,,,N,166
raw.qualtrics_.*responses,Sec73DurationDays,sec73DurationDays,string,,,,N,167
raw.qualtrics_.*responses,Sec73Month,sec73Month,string,,,,N,168
raw.qualtrics_.*responses,UserID,userID,string,,,,N,169
